,Date,itx,Close,PositionCost,PositionType,AssetsFund,AssetsIncrease,IdleFund,TotalFund,TotalInterest
1335,2017-08-22,1336.0,10.769755363464355,11.150985717773438,-1,1.389476683718591,0.03418804076678558,0.0,1.389476683718591,0.389476683718591
1336,2017-08-23,1337.0,10.891056060791016,11.150985717773438,-1,1.3748615837585567,0.02331001613320361,0.0,1.3748615837585567,0.3748615837585567
1337,2017-08-24,1338.0,10.804412841796875,11.150985717773438,-1,1.3853009244578802,0.03108002151093815,0.0,1.3853009244578802,0.3853009244578802
1338,2017-08-25,1339.0,11.073006629943848,11.150985717773438,-1,1.3529389912709593,0.006993021944714699,0.0,1.3529389912709593,0.3529389912709593
1339,2017-08-28,1340.0,11.168313980102539,11.150985717773438,-1,1.3414557394826851,-0.0015539668660396748,0.0,1.3414557394826851,0.34145573948268515
1340,2017-08-29,1341.0,11.228964805603027,11.150985717773438,-1,1.334148132050214,-0.006993021944714699,0.0,1.334148132050214,0.334148132050214
1341,2017-08-30,1342.0,11.150985717773438,11.150985717773438,-1,1.3435435616605866,-0.0,0.0,1.3435435616605866,0.34354356166058664
1342,2017-08-31,1343.0,11.01235580444336,11.150985717773438,-1,1.3602465987034302,0.012432077023389724,0.0,1.3602465987034302,0.36024659870343023
1343,2017-09-01,1344.0,11.064342498779297,11.150985717773438,-1,1.35398290235991,0.007770005377734537,0.0,1.35398290235991,0.3539829023599099
1344,2017-09-04,1345.0,11.073006629943848,11.150985717773438,-1,1.3529389912709593,0.006993021944714699,0.0,1.3529389912709593,0.3529389912709593
1345,2017-09-05,1346.0,11.289613723754883,11.289613723754883,1,1.3268407544275589,0.0,0.0,1.3268407544275589,0.3268407544275589
1346,2017-09-06,1347.0,11.228964805603027,11.289613723754883,1,1.3197128350598217,-0.005372098606371438,0.0,1.3197128350598217,0.31971283505982173
1347,2017-09-07,1348.0,11.13365650177002,11.289613723754883,1,1.308511482661474,-0.013814221265755804,0.0,1.308511482661474,0.3085114826614741
1348,2017-09-08,1349.0,11.289613723754883,11.289613723754883,1,1.3268407544275589,0.0,0.0,1.3268407544275589,0.3268407544275589
1349,2017-09-11,1350.0,11.25495719909668,11.289613723754883,1,1.3227676576459948,-0.0030697706322122503,0.0,1.3227676576459948,0.3227676576459948
